#KEGG ID	S3Fallen.S1.R1.R1	S3Fallen.S1.R1.R2
K07243	350	314
K07497	1821	1942
K07746	439	447
K08965	1	1
K09011	6	0
K09118	70	65
K09156	21	21
K09690	246	259
K09691	246	266
K09706	2	2
K09707	5	2
K09731	7	7
K09740	2	1
K09743	7	7
K10206	206	229
K10979	312	337
K11212	61	52
K11782	52	39
K11784	51	38
K14652	609	607
K14941	18	16
K15986	15	24
K16885	1	1
K16886	1	1
K17103	591	585
K17865	25	20
K18285	53	39
K19141	1	0
K19157	43	33
K19954	9	17
K00219	111	119
K00575	365	399
K01661	264	270
K02470	837	832
K02520	603	618
K08295	18	12
K11073	120	123
K11751	222	198
K00884	65	58
K01174	34	41
K02420	445	438
K03410	56	72
K07171	182	165
K09803	62	60
K11781	7	7
K17734	15	22
K19164	10	3
K00677	574	587
K00995	717	690
K02068	232	224
K02069	70	60
K02377	255	244
K04767	27	38
K06861	503	521
K07069	32	42
K07448	105	101
K08303	553	516
K09760	606	577
K15866	175	172
K16263	45	35
K16841	155	188
K19147	39	36
K00253	226	230
K01342	1	1
K01599	689	693
K07576	367	318
K09020	82	76
K09388	26	36
K09807	512	514
K12251	127	142
K17490	1	1
K00376	194	208
K02200	357	392
K02305	5	0
K03672	278	244
K03688	453	425
K03716	27	41
K03821	192	224
K06039	43	33
K06131	626	636
K06998	95	120
K07006	142	110
K07218	11	0
K07507	934	955
K08976	248	276
K09712	59	57
K10843	13	9
K14080	1	1
K14645	181	167
K15527	0	2
K16267	10	8
K00263	412	417
K02116	303	319
K09771	444	393
K02182	62	51
K04562	229	200
K06518	251	264
K10713	17	17
K00019	249	262
K00033	318	319
K00112	45	36
K00254	556	567
K00265	444	411
K00287	767	771
K00311	232	231
K00318	284	307
K00356	47	57
K00368	211	181
K00372	229	244
K00523	156	176
K00640	467	444
K00641	773	797
K00652	630	631
K00661	305	330
K00674	636	633
K00692	8	20
K00697	302	247
K00801	7	13
K00830	25	30
K00874	503	542
K00882	416	447
K00971	297	320
K01051	78	50
K01176	414	414
K01182	59	71
K01193	209	225
K01433	495	554
K01476	323	328
K01479	366	417
K01625	816	874
K01734	424	472
K01740	464	477
K01758	217	179
K01810	803	822
K01846	3	1
K01911	114	122
K01935	700	694
K01972	679	707
K02259	496	527
K02277	27	49
K02551	309	334
K02552	105	110
K03072	422	397
K03074	443	416
K03297	157	185
K03315	663	761
K03436	29	31
K03476	55	45
K03611	377	374
K03687	674	651
K03701	1021	1047
K03702	806	813
K03703	811	822
K03704	3049	3106
K03725	7	7
K03767	310	289
K03841	641	649
K04093	63	72
K04643	7	7
K04835	2	5
K05813	224	252
K06048	383	352
K06222	195	185
K06377	176	155
K06595	9	18
K06876	470	475
K06886	1005	992
K06955	60	90
K06987	409	436
K06999	619	640
K07001	687	673
K07058	1270	1280
K07113	261	273
K07140	280	270
K07180	183	219
K07305	824	870
K07390	410	390
K07393	464	437
K07401	167	180
K07461	554	545
K07502	18	43
K07585	7	7
K08602	45	39
K08974	342	385
K08977	7	7
K09015	655	670
K09136	419	408
K09153	11	10
K09164	274	276
K09165	515	581
K09166	78	85
K09190	113	119
K09763	186	194
K09786	226	255
K09792	393	415
K09793	272	278
K09815	363	332
K09816	390	374
K09817	411	395
K09928	205	191
K09946	64	67
K09966	33	32
K10254	163	161
K11085	506	535
K11263	69	65
K12573	600	601
K12940	89	84
K13628	571	591
K14273	7	7
K15408	15	24
K15633	365	371
K15975	102	126
K16783	36	43
K16784	5	18
K17713	359	341
K17942	7	7
K19268	3	1
K19340	189	209
K19341	195	209
K20611	14	14
K00135	1681	1752
K00574	652	629
K02041	330	354
K02042	314	408
K02101	1	1
K02610	167	163
K02611	150	121
K03734	505	455
K05814	225	254
K00116	297	306
K00426	900	931
K00876	498	529
K00937	843	884
K00983	518	538
K01183	133	110
K01207	507	478
K01620	558	599
K01654	495	462
K03335	107	149
K03823	461	435
K04486	57	69
K05577	173	166
K05815	225	251
K05820	95	93
K06223	447	397
K06415	27	37
K07119	614	624
K07148	85	70
K07313	272	290
K07404	119	135
K09822	214	213
K13693	205	218
K19115	9	13
K19116	9	13
